WWGI/MMR_CC_NO_SRC,Control of Corruption; Number of Sources - Myanmar
WWGI/MMR_CC_PER_RNK,Control of Corruption; Percentile Rank - Myanmar
WWGI/MMR_CC_STD_ERR,Control of Corruption; Standard Error - Myanmar
WWGI/MMR_GE_EST,Government Effectiveness; Estimate - Myanmar
WWGI/MMR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Myanmar
WWGI/MMR_GE_NO_SRC,Government Effectiveness; Number of Sources - Myanmar
WWGI/MMR_GE_STD_ERR,Government Effectiveness; Standard Error - Myanmar
WWGI/MMR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Myanmar
WWGI/MMR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Myanmar
WWGI/MMR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Myanmar
WWGI/MMR_RQ_EST,Regulatory Quality; Estimate - Myanmar
WWGI/MMR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Myanmar
WWGI/MMR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Myanmar
WWGI/MMR_RL_EST,Rule of Law; Estimate - Myanmar
WWGI/MMR_RL_NO_SRC,Rule of Law; Number of Sources - Myanmar
WWGI/MMR_RQ_STD_ERR,Regulatory Quality; Standard Error - Myanmar
WWGI/MMR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Myanmar
WWGI/MMR_RL_STD_ERR,Rule of Law; Standard Error - Myanmar
WWGI/MMR_VA_NO_SRC,Voice and Accountability; Number of Sources - Myanmar
WWGI/MMR_VA_EST,Voice and Accountability; Estimate - Myanmar
WWGI/MMR_VA_STD_ERR,Voice and Accountability; Standard Error - Myanmar
WWGI/MNE_CC_NO_SRC,Control of Corruption; Number of Sources - Montenegro
WWGI/MNE_CC_EST,Control of Corruption; Estimate - Montenegro
WWGI/MMR_RL_PER_RNK,Rule of Law; Percentile Rank - Myanmar
WWGI/MNE_CC_PER_RNK,Control of Corruption; Percentile Rank - Montenegro
WWGI/MNE_CC_STD_ERR,Control of Corruption; Standard Error - Montenegro
WWGI/MMR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Myanmar
WWGI/MNE_GE_PER_RNK,Government Effectiveness; Percentile Rank - Montenegro
WWGI/MNE_GE_EST,Government Effectiveness; Estimate - Montenegro
WWGI/MNE_GE_NO_SRC,Government Effectiveness; Number of Sources - Montenegro
WWGI/MNE_GE_STD_ERR,Government Effectiveness; Standard Error - Montenegro
WWGI/MNE_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Montenegro
WWGI/MNE_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Montenegro
WWGI/MNE_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Montenegro
WWGI/MNE_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Montenegro
WWGI/MNE_RQ_EST,Regulatory Quality; Estimate - Montenegro
WWGI/MNE_RQ_STD_ERR,Regulatory Quality; Standard Error - Montenegro
WWGI/MNE_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Montenegro
WWGI/MNE_RQ_NO_SRC,Regulatory Quality; Number of Sources - Montenegro
WWGI/MNE_RL_EST,Rule of Law; Estimate - Montenegro
WWGI/MNE_RL_PER_RNK,Rule of Law; Percentile Rank - Montenegro
WWGI/MNE_RL_NO_SRC,Rule of Law; Number of Sources - Montenegro
WWGI/MNE_RL_STD_ERR,Rule of Law; Standard Error - Montenegro
WWGI/MNE_VA_EST,Voice and Accountability; Estimate - Montenegro
WWGI/MNG_CC_EST,Control of Corruption; Estimate - Mongolia
WWGI/MNE_VA_STD_ERR,Voice and Accountability; Standard Error - Montenegro
WWGI/MNE_VA_PER_RNK,Voice and Accountability; Percentile Rank - Montenegro
WWGI/MNE_VA_NO_SRC,Voice and Accountability; Number of Sources - Montenegro
WWGI/MNG_CC_NO_SRC,Control of Corruption; Number of Sources - Mongolia
WWGI/MNG_GE_NO_SRC,Government Effectiveness; Number of Sources - Mongolia
WWGI/MNG_GE_EST,Government Effectiveness; Estimate - Mongolia
WWGI/MNG_CC_STD_ERR,Control of Corruption; Standard Error - Mongolia
WWGI/MNG_CC_PER_RNK,Control of Corruption; Percentile Rank - Mongolia
WWGI/MNG_GE_STD_ERR,Government Effectiveness; Standard Error - Mongolia
WWGI/MNG_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Mongolia
WWGI/MNG_GE_PER_RNK,Government Effectiveness; Percentile Rank - Mongolia
WWGI/MNG_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Mongolia
WWGI/MNG_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Mongolia
WWGI/MNG_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Mongolia
WWGI/MNG_RQ_EST,Regulatory Quality; Estimate - Mongolia
WWGI/MNG_RQ_NO_SRC,Regulatory Quality; Number of Sources - Mongolia
WWGI/MNG_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Mongolia
WWGI/MNG_RQ_STD_ERR,Regulatory Quality; Standard Error - Mongolia
WWGI/MNG_RL_EST,Rule of Law; Estimate - Mongolia
WWGI/MNG_RL_NO_SRC,Rule of Law; Number of Sources - Mongolia
WWGI/MNG_VA_EST,Voice and Accountability; Estimate - Mongolia
WWGI/MNG_VA_NO_SRC,Voice and Accountability; Number of Sources - Mongolia
WWGI/MNG_RL_STD_ERR,Rule of Law; Standard Error - Mongolia
WWGI/MNG_RL_PER_RNK,Rule of Law; Percentile Rank - Mongolia
WWGI/MNG_VA_PER_RNK,Voice and Accountability; Percentile Rank - Mongolia
WWGI/MNG_VA_STD_ERR,Voice and Accountability; Standard Error - Mongolia
WWGI/MOZ_CC_EST,Control of Corruption; Estimate - Mozambique
WWGI/MOZ_CC_PER_RNK,Control of Corruption; Percentile Rank - Mozambique
WWGI/MOZ_CC_NO_SRC,Control of Corruption; Number of Sources - Mozambique
WWGI/MOZ_CC_STD_ERR,Control of Corruption; Standard Error - Mozambique
WWGI/MOZ_GE_EST,Government Effectiveness; Estimate - Mozambique
WWGI/MOZ_GE_NO_SRC,Government Effectiveness; Number of Sources - Mozambique
WWGI/MOZ_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Mozambique
WWGI/MOZ_GE_STD_ERR,Government Effectiveness; Standard Error - Mozambique
WWGI/MOZ_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Mozambique
WWGI/MOZ_GE_PER_RNK,Government Effectiveness; Percentile Rank - Mozambique
WWGI/MOZ_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Mozambique
WWGI/MOZ_RQ_NO_SRC,Regulatory Quality; Number of Sources - Mozambique
WWGI/MOZ_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Mozambique
WWGI/MOZ_RQ_EST,Regulatory Quality; Estimate - Mozambique
WWGI/MOZ_RQ_STD_ERR,Regulatory Quality; Standard Error - Mozambique
WWGI/MOZ_RL_EST,Rule of Law; Estimate - Mozambique
WWGI/MOZ_RL_PER_RNK,Rule of Law; Percentile Rank - Mozambique
WWGI/MOZ_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Mozambique
WWGI/MOZ_RL_NO_SRC,Rule of Law; Number of Sources - Mozambique
WWGI/MOZ_VA_EST,Voice and Accountability; Estimate - Mozambique
WWGI/MOZ_RL_STD_ERR,Rule of Law; Standard Error - Mozambique
WWGI/MOZ_VA_NO_SRC,Voice and Accountability; Number of Sources - Mozambique
WWGI/MRT_CC_EST,Control of Corruption; Estimate - Mauritania
WWGI/MOZ_VA_PER_RNK,Voice and Accountability; Percentile Rank - Mozambique
WWGI/MOZ_VA_STD_ERR,Voice and Accountability; Standard Error - Mozambique
WWGI/MRT_CC_NO_SRC,Control of Corruption; Number of Sources - Mauritania
WWGI/MRT_CC_PER_RNK,Control of Corruption; Percentile Rank - Mauritania
WWGI/MRT_GE_NO_SRC,Government Effectiveness; Number of Sources - Mauritania
WWGI/MRT_GE_EST,Government Effectiveness; Estimate - Mauritania
WWGI/MRT_CC_STD_ERR,Control of Corruption; Standard Error - Mauritania
WWGI/MRT_GE_PER_RNK,Government Effectiveness; Percentile Rank - Mauritania
WWGI/MRT_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Mauritania
WWGI/MRT_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Mauritania
WWGI/MRT_GE_STD_ERR,Government Effectiveness; Standard Error - Mauritania
WWGI/MRT_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Mauritania
WWGI/MRT_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Mauritania
WWGI/MRT_RQ_EST,Regulatory Quality; Estimate - Mauritania
WWGI/MRT_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Mauritania
WWGI/MRT_RQ_NO_SRC,Regulatory Quality; Number of Sources - Mauritania
WWGI/MRT_RQ_STD_ERR,Regulatory Quality; Standard Error - Mauritania
WWGI/MRT_RL_NO_SRC,Rule of Law; Number of Sources - Mauritania
WWGI/MRT_RL_STD_ERR,Rule of Law; Standard Error - Mauritania
WWGI/MRT_RL_PER_RNK,Rule of Law; Percentile Rank - Mauritania
WWGI/MRT_RL_EST,Rule of Law; Estimate - Mauritania
WWGI/MRT_VA_NO_SRC,Voice and Accountability; Number of Sources - Mauritania
WWGI/MRT_VA_EST,Voice and Accountability; Estimate - Mauritania
WWGI/MRT_VA_PER_RNK,Voice and Accountability; Percentile Rank - Mauritania
WWGI/MUS_CC_EST,Control of Corruption; Estimate - Mauritius
WWGI/MUS_CC_NO_SRC,Control of Corruption; Number of Sources - Mauritius
WWGI/MRT_VA_STD_ERR,Voice and Accountability; Standard Error - Mauritania
WWGI/MUS_CC_PER_RNK,Control of Corruption; Percentile Rank - Mauritius
WWGI/MUS_GE_NO_SRC,Government Effectiveness; Number of Sources - Mauritius
WWGI/MUS_CC_STD_ERR,Control of Corruption; Standard Error - Mauritius
WWGI/MUS_GE_EST,Government Effectiveness; Estimate - Mauritius
WWGI/MUS_GE_PER_RNK,Government Effectiveness; Percentile Rank - Mauritius
WWGI/MUS_GE_STD_ERR,Government Effectiveness; Standard Error - Mauritius
WWGI/MUS_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Mauritius
WWGI/MUS_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Mauritius
WWGI/MUS_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Mauritius
WWGI/MUS_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Mauritius
WWGI/MUS_RQ_EST,Regulatory Quality; Estimate - Mauritius
WWGI/MUS_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Mauritius
WWGI/MUS_RQ_NO_SRC,Regulatory Quality; Number of Sources - Mauritius
WWGI/MUS_RL_EST,Rule of Law; Estimate - Mauritius
WWGI/MUS_RL_NO_SRC,Rule of Law; Number of Sources - Mauritius
WWGI/MUS_RL_STD_ERR,Rule of Law; Standard Error - Mauritius
WWGI/MUS_RQ_STD_ERR,Regulatory Quality; Standard Error - Mauritius
WWGI/MUS_RL_PER_RNK,Rule of Law; Percentile Rank - Mauritius
WWGI/MUS_VA_EST,Voice and Accountability; Estimate - Mauritius
WWGI/MUS_VA_PER_RNK,Voice and Accountability; Percentile Rank - Mauritius
WWGI/MUS_VA_NO_SRC,Voice and Accountability; Number of Sources - Mauritius
WWGI/MUS_VA_STD_ERR,Voice and Accountability; Standard Error - Mauritius
WWGI/MWI_CC_NO_SRC,Control of Corruption; Number of Sources - Malawi
WWGI/MWI_CC_EST,Control of Corruption; Estimate - Malawi
WWGI/MWI_CC_PER_RNK,Control of Corruption; Percentile Rank - Malawi
WWGI/MWI_CC_STD_ERR,Control of Corruption; Standard Error - Malawi
WWGI/MWI_GE_EST,Government Effectiveness; Estimate - Malawi
WWGI/MWI_GE_NO_SRC,Government Effectiveness; Number of Sources - Malawi
WWGI/MWI_GE_PER_RNK,Government Effectiveness; Percentile Rank - Malawi
WWGI/MWI_GE_STD_ERR,Government Effectiveness; Standard Error - Malawi
WWGI/MWI_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Malawi
WWGI/MWI_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Malawi
WWGI/MWI_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Malawi
WWGI/MWI_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Malawi
WWGI/MWI_RQ_STD_ERR,Regulatory Quality; Standard Error - Malawi
WWGI/MWI_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Malawi
WWGI/MWI_RQ_NO_SRC,Regulatory Quality; Number of Sources - Malawi
WWGI/MWI_RQ_EST,Regulatory Quality; Estimate - Malawi
WWGI/MWI_RL_EST,Rule of Law; Estimate - Malawi
WWGI/MWI_RL_NO_SRC,Rule of Law; Number of Sources - Malawi
WWGI/MWI_RL_PER_RNK,Rule of Law; Percentile Rank - Malawi
WWGI/MWI_RL_STD_ERR,Rule of Law; Standard Error - Malawi
WWGI/MWI_VA_NO_SRC,Voice and Accountability; Number of Sources - Malawi
WWGI/MWI_VA_EST,Voice and Accountability; Estimate - Malawi
WWGI/MWI_VA_PER_RNK,Voice and Accountability; Percentile Rank - Malawi
WWGI/MYS_CC_EST,Control of Corruption; Estimate - Malaysia
WWGI/MWI_VA_STD_ERR,Voice and Accountability; Standard Error - Malawi
WWGI/MYS_CC_NO_SRC,Control of Corruption; Number of Sources - Malaysia
WWGI/MYS_CC_STD_ERR,Control of Corruption; Standard Error - Malaysia
WWGI/MYS_CC_PER_RNK,Control of Corruption; Percentile Rank - Malaysia
WWGI/MYS_GE_NO_SRC,Government Effectiveness; Number of Sources - Malaysia
WWGI/MYS_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Malaysia
WWGI/MYS_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Malaysia
WWGI/MYS_GE_PER_RNK,Government Effectiveness; Percentile Rank - Malaysia
WWGI/MYS_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Malaysia
WWGI/MYS_GE_EST,Government Effectiveness; Estimate - Malaysia
WWGI/MYS_GE_STD_ERR,Government Effectiveness; Standard Error - Malaysia
WWGI/MYS_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Malaysia
WWGI/MYS_RQ_EST,Regulatory Quality; Estimate - Malaysia
WWGI/MYS_RQ_NO_SRC,Regulatory Quality; Number of Sources - Malaysia
WWGI/MYS_RL_EST,Rule of Law; Estimate - Malaysia
WWGI/MYS_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Malaysia
WWGI/MYS_RL_NO_SRC,Rule of Law; Number of Sources - Malaysia
WWGI/MYS_RL_PER_RNK,Rule of Law; Percentile Rank - Malaysia
WWGI/MYS_RL_STD_ERR,Rule of Law; Standard Error - Malaysia
WWGI/MYS_VA_EST,Voice and Accountability; Estimate - Malaysia
WWGI/MYS_VA_NO_SRC,Voice and Accountability; Number of Sources - Malaysia
WWGI/MYS_VA_PER_RNK,Voice and Accountability; Percentile Rank - Malaysia
WWGI/NAM_CC_EST,Control of Corruption; Estimate - Namibia
WWGI/NAM_CC_STD_ERR,Control of Corruption; Standard Error - Namibia
WWGI/NAM_CC_NO_SRC,Control of Corruption; Number of Sources - Namibia
WWGI/MYS_VA_STD_ERR,Voice and Accountability; Standard Error - Malaysia
WWGI/NAM_GE_NO_SRC,Government Effectiveness; Number of Sources - Namibia
WWGI/NAM_GE_EST,Government Effectiveness; Estimate - Namibia
WWGI/NAM_CC_PER_RNK,Control of Corruption; Percentile Rank - Namibia
WWGI/NAM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Namibia
WWGI/NAM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Namibia
WWGI/MYS_RQ_STD_ERR,Regulatory Quality; Standard Error - Malaysia
WWGI/NAM_GE_STD_ERR,Government Effectiveness; Standard Error - Namibia
WWGI/NAM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Namibia
WWGI/NAM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Namibia
WWGI/NAM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Namibia
WWGI/NAM_RQ_EST,Regulatory Quality; Estimate - Namibia
WWGI/NAM_RL_EST,Rule of Law; Estimate - Namibia
WWGI/NAM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Namibia
WWGI/NAM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Namibia
WWGI/NAM_RL_NO_SRC,Rule of Law; Number of Sources - Namibia
WWGI/NAM_VA_EST,Voice and Accountability; Estimate - Namibia
WWGI/NAM_RL_PER_RNK,Rule of Law; Percentile Rank - Namibia
WWGI/NAM_RQ_STD_ERR,Regulatory Quality; Standard Error - Namibia
WWGI/NAM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Namibia
WWGI/NCL_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - New Caledonia
WWGI/NAM_VA_STD_ERR,Voice and Accountability; Standard Error - Namibia
WWGI/NAM_RL_STD_ERR,Rule of Law; Standard Error - Namibia
WWGI/NAM_VA_NO_SRC,Voice and Accountability; Number of Sources - Namibia
WWGI/NCL_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - New Caledonia
WWGI/NCL_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - New Caledonia
WWGI/NCL_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - New Caledonia
WWGI/NER_CC_NO_SRC,Control of Corruption; Number of Sources - Niger
WWGI/NER_CC_STD_ERR,Control of Corruption; Standard Error - Niger
WWGI/NER_CC_PER_RNK,Control of Corruption; Percentile Rank - Niger
WWGI/NER_GE_EST,Government Effectiveness; Estimate - Niger
WWGI/NER_GE_NO_SRC,Government Effectiveness; Number of Sources - Niger
WWGI/NER_GE_PER_RNK,Government Effectiveness; Percentile Rank - Niger
WWGI/NER_GE_STD_ERR,Government Effectiveness; Standard Error - Niger
WWGI/NER_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Niger
WWGI/NER_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Niger
WWGI/NER_RQ_EST,Regulatory Quality; Estimate - Niger
WWGI/NER_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Niger
WWGI/NER_RQ_NO_SRC,Regulatory Quality; Number of Sources - Niger
WWGI/NER_RQ_STD_ERR,Regulatory Quality; Standard Error - Niger
WWGI/NER_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Niger
WWGI/NER_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Niger
WWGI/NER_RL_EST,Rule of Law; Estimate - Niger
WWGI/NER_RL_PER_RNK,Rule of Law; Percentile Rank - Niger
WWGI/NER_RL_NO_SRC,Rule of Law; Number of Sources - Niger
WWGI/NER_VA_EST,Voice and Accountability; Estimate - Niger
WWGI/NER_RL_STD_ERR,Rule of Law; Standard Error - Niger
WWGI/NER_VA_PER_RNK,Voice and Accountability; Percentile Rank - Niger
WWGI/NER_VA_NO_SRC,Voice and Accountability; Number of Sources - Niger
WWGI/NER_VA_STD_ERR,Voice and Accountability; Standard Error - Niger
WWGI/NGA_CC_EST,Control of Corruption; Estimate - Nigeria
WWGI/NGA_CC_NO_SRC,Control of Corruption; Number of Sources - Nigeria
WWGI/NER_CC_EST,Control of Corruption; Estimate - Niger
WWGI/NGA_CC_PER_RNK,Control of Corruption; Percentile Rank - Nigeria
WWGI/NGA_CC_STD_ERR,Control of Corruption; Standard Error - Nigeria
WWGI/NGA_GE_NO_SRC,Government Effectiveness; Number of Sources - Nigeria
WWGI/NGA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Nigeria
WWGI/NGA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Nigeria
WWGI/NGA_GE_EST,Government Effectiveness; Estimate - Nigeria
WWGI/NGA_GE_STD_ERR,Government Effectiveness; Standard Error - Nigeria
WWGI/NGA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Nigeria
WWGI/NGA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Nigeria
WWGI/NGA_RQ_EST,Regulatory Quality; Estimate - Nigeria
WWGI/NGA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Nigeria
WWGI/NGA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Nigeria
WWGI/NGA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Nigeria
WWGI/NGA_RQ_STD_ERR,Regulatory Quality; Standard Error - Nigeria
WWGI/NGA_RL_EST,Rule of Law; Estimate - Nigeria
WWGI/NGA_RL_PER_RNK,Rule of Law; Percentile Rank - Nigeria
WWGI/NGA_RL_NO_SRC,Rule of Law; Number of Sources - Nigeria
WWGI/NGA_RL_STD_ERR,Rule of Law; Standard Error - Nigeria
WWGI/NGA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Nigeria
WWGI/NGA_VA_EST,Voice and Accountability; Estimate - Nigeria
WWGI/NIC_CC_EST,Control of Corruption; Estimate - Nicaragua
WWGI/NGA_VA_NO_SRC,Voice and Accountability; Number of Sources - Nigeria
WWGI/NIC_CC_STD_ERR,Control of Corruption; Standard Error - Nicaragua
WWGI/NGA_VA_STD_ERR,Voice and Accountability; Standard Error - Nigeria
WWGI/NIC_CC_NO_SRC,Control of Corruption; Number of Sources - Nicaragua
WWGI/NIC_CC_PER_RNK,Control of Corruption; Percentile Rank - Nicaragua
WWGI/NIC_GE_EST,Government Effectiveness; Estimate - Nicaragua
WWGI/NIC_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Nicaragua
WWGI/NIC_GE_STD_ERR,Government Effectiveness; Standard Error - Nicaragua
WWGI/NIC_GE_PER_RNK,Government Effectiveness; Percentile Rank - Nicaragua
WWGI/NIC_GE_NO_SRC,Government Effectiveness; Number of Sources - Nicaragua
WWGI/NIC_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Nicaragua
WWGI/NIC_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Nicaragua
WWGI/NIC_RQ_EST,Regulatory Quality; Estimate - Nicaragua
WWGI/NIC_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Nicaragua
WWGI/NIC_RQ_STD_ERR,Regulatory Quality; Standard Error - Nicaragua
WWGI/NIC_RQ_NO_SRC,Regulatory Quality; Number of Sources - Nicaragua
WWGI/NIC_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Nicaragua
WWGI/NIC_RL_PER_RNK,Rule of Law; Percentile Rank - Nicaragua
WWGI/NIC_RL_NO_SRC,Rule of Law; Number of Sources - Nicaragua
